"year_month",".mean"
2021 Nov,24146.1543391683
2021 Dec,22220.4319215403
2022 Jan,23985.846903779
2022 Feb,24181.6734209893
2022 Mar,26514.5954358028
2022 Apr,25708.243552875
2022 May,25400.6724427577
2022 Jun,24617.1262660439
2022 Jul,25559.265658888
2022 Aug,24393.4886410404
2022 Sep,23067.8791381252
2022 Oct,25050.7691862343
